,Unnamed: 0,_id,tweet,hateeval_bert,hateeval_nb,hateeval_lg,hateeval_gb,hateeval_svc
24,33,61e12fe00776fd1c94712a0c,@neelamkothari Mumbai city can't sustain more. People poured in this city and result is this. Stop increasing population of Mumbai to resolve these issues.,0.9796916842460632,0.387558405743991,0.3886006655875569,0.4347150704278085,0.4451791256123226
32,45,61c1e18e78e60889d95c6dd7,@synjinsui If you told me Meredith was hitlers daughter I would believe it. Telling Amelia it’s her husband and father to her kids? Like bitch okay??? That was her twin brother fuck off. Hate Her so much,0.9748363494873048,0.4620130228977182,0.6041359245410545,0.7011604385994407,0.9258106091471936
40,58,61e11c6e6a2d2dcce881165d,@AthulyaOfficial @Suriya_offl C'mon do not put jalra to this DMK slave who talks in different tones politically,0.9833389520645142,0.5425600277973548,0.4542759586844919,0.4146266305166249,0.4792205980946474
62,88,61e1378029158668d17a99c7,"@renukash this one is on you. Remember, there is a special place in hell for women who don’t support other women. You played to corrupt power, and showed yourself. Shame.",0.9702361226081848,0.3152003192557621,0.433878735069811,0.5068173791690392,0.4572124937632428
82,115,61e41ee2e89da792d13b1d1c,"@vibhavarms @UnSubtleDesi @OpIndia_com Where are the feminists? This so damn awfully disappointing. Where are the saviours who came to cover for #RanaAyyub ? Where is RanaAyyub herself? Now is it clear who is biggot, @AdrianMLevy ?",0.982380509376526,0.5837616680512672,0.5224835460752062,0.4545478026709468,0.5582888694373982
88,124,61e2765a2f5bfe72795d6605,@kriti_official  Ur both dating,0.0092114154249429,0.5808668316788065,0.5031272741274233,0.4083269883131927,0.6161994772330446
90,126,61e468a76c1a5ead766eab26,"you dont care about anyone you just wanna call vulnerable women dumb bimbos and sluts but with a left-wing veneer, which is why you hate them more than the fucking capitalist ghouls who ruin their lives",0.8517931699752808,0.4535212821388856,0.4104180638774226,0.4083269883131927,0.6942508022163473
93,130,61e19625bc38997ba7c0a417,@MenenNithya @soumikdatta @Spotify @AppleMusic @souvid Keep rocking,0.0132259894162416,0.5214681979814249,0.4941414369629959,0.4083269883131927,0.671804317130121
99,142,61c1e30378e60889d95c70f0,I don’t wanna hear about you fucking other bitches save that for your boys,0.9883483052253724,0.5282419783102738,0.5665378045113785,0.7104650566737554,0.8342498831838896
104,148,61cbef955d88ea199b1d3795,Fascists of the world will be defeated.  #GoBackBolsonaro,0.9882662892341614,0.2983210909570161,0.2948117741437192,0.4083269883131927,0.3681768552625907
110,156,61e41611ddc05e8fea2c62ab,@IJaising We should have the country run by Dishonorable Prashant Bhushan and Indira Jaisingh with Shanti Bhushan as the President. Throw everything else out,0.9498379826545716,0.5552767319336789,0.5997166701968478,0.5366812986590886,0.6461600700210648
112,160,61e2866c2f5bfe72795d78d7,@joshnachinappa yu r so Adorable cn we becm frnds,0.0024088143836706,0.6256756521086745,0.4014897268342023,0.4083269883131927,0.4352951354501436
120,174,61e41d7cf9149cad8a7b4fd8,@MariaKhanTOI @UPSRTCHQ @mealonroad Good move! Drivers and conductors ever illegally hault the buses for food on such untidy places.,0.9886190891265868,0.5484154674121122,0.4811081975034024,0.4926825358601511,0.4513723119127654
134,195,61e4764b4ba7d1c0fd57a99e,@_sabanaqvi Excellent....now get on National TV or write another Tweet...request all the illegal Bangladeshis to leave our great country and live in the economic bliss of their country itself....will you do that ...or mooh mein fevicol lag jaayega?,0.9838647842407228,0.6381226817599792,0.8339532794692722,0.7772564974516307,0.840447317384768
164,230,61d5f9437b77dfb5f288ec1d,@rohini_sgh This is scary. Lets hope @AamAadmiParty doesnt turn our city beautiful #Chandigarh into another mess like #Delhi #ChandigarhMunicipalResults,0.9792025685310364,0.616164984841572,0.4796848559304797,0.4083269883131927,0.544584321456591
174,246,61e10db56a2d2dcce880fb72,"@shibanidandekar Finally druggies can get some ""maal"" now. #Bollywood was desparately missing her. #rheagetsbail",0.966401219367981,0.3370435625941546,0.3724702227770911,0.4182567429393599,0.4902732487975325
175,247,61dc1c5411ae5ace4fb54d57,@AmmyVirk  Hello listen Amy respect your fans ok do not called Londa ok if you in vancouver people gona fuck in your Ass ok,0.0136665133759379,0.4859594406765654,0.3481964610501699,0.4146266305166249,0.6727106736370039
179,252,61e1395c1cf48a3db760f151,@NungshiTashi @narendramodi @KirenRijiju @PemaKhanduBJP @NBirenSingh @CMOfficeAssam @VVCFilms @ActorMadhavan @parmindernagra @chay_akkineni @sajjanjindal Two lovely and brave ladies 🦅🥾🏔🔥🥰🙏🏼,0.940304398536682,0.4061564485708442,0.4595374190950745,0.4083269883131927,0.4590637983223373
196,276,61e12a2e0776fd1c94712310,@Nikhilavimal1 Wow charming💗💗💗💗,0.0060923225246369,0.6508664087053512,0.4947411609117453,0.4083269883131927,0.5
197,277,61dc099411ae5ace4fb523d5,@NehaDhupia Leave India!!,0.987326204776764,0.573091009659703,0.6334066630834286,0.4802061056837589,0.6066633476210517
204,286,61c1debd78e60889d95c67a5,Bitch I woulda passed out if THE Yeonjun called me a Princess,0.1408442854881286,0.5411153283938641,0.6687903740846654,0.7530308245115304,0.9657078949047108
208,292,61e1a1dc72115c8f12abce81,@Officialneha Wow so sweet,0.0406422466039657,0.6498718230954736,0.5343034657210275,0.4083269883131927,0.5352982472875896
211,297,61e10b0bd022fb7be711a449,@suchitrak Free speech should always come with responsibility.,0.0417981669306755,0.5216368334708179,0.7374104336779977,0.4684865588578302,0.7541196856728253
238,338,61e48e188138f7efd2f8b4e3,@_sayema She is saying the way it is in her religion! Only men make decisions and rules even for woman😀,0.7464633584022522,0.2160187283316135,0.1667220036143188,0.3613837960926851,0.1937497832285121
247,355,61c1e3dd78e60889d95c72f3,"If da bitch too bad , she done been hit",0.987759530544281,0.7457133719625244,0.8774039184446768,0.7530308245115304,0.9876290509603368
263,373,61d5d9197b77dfb5f2888ff3,@taslimanasreen @AnupKumarSahu1 #Islamophobe your heart is a criminal too hiding inside your body. Your final agenda is removing the element of shyness from human beings so all genders are fornicating openly on roads. #Hayah #modesty is a virtue that you are at odds with. #Burkahate is just a pretext.,0.9870849251747132,0.4070712375455168,0.3422949760986249,0.4083269883131927,0.4070977888068248
269,382,61e1151185ff1e72f7416aa0,@bombaysunshine @Beingrealbeing They need money to be stuffed in their mouths to speak .  #CBIFamilyAwaitsJusticeForSSR,0.9098487496376038,0.4775991108237864,0.4653315777306492,0.4083269883131927,0.55864059704445
276,393,61dc45e011ae5ace4fb566e6,@ItsPrachiDesai #AskPrachi who was your fav contestant in bigg boss except rubina?,0.96546471118927,0.4989588244455615,0.4099783819327109,0.4083269883131927,0.4144764239891779
288,407,61dbecbbbd8f3c7ddb346e7e,@soniya_agg Whose Grandma?,0.942858338356018,0.4963020715090404,0.3948575140969176,0.4083269883131927,0.4270452029146033
290,411,61e13aa603eb276a5c1789e1,"@eshagupta2811 Who are you referring as ""she"" here?",0.9780157208442688,0.2861102243788906,0.2824360780036288,0.4083269883131927,0.3480169204716802
